Date,BHFDDIT,A2302464V,A2302466X,A84423092X,BSPNSHUNW,BSPNSHNFD,FILRHLBV,BHFIPDH
30/09/1988,63.000691,158070,8401,6.9,1068.653,634.7,8.05,5.2193425
31/12/1988,66.603995,172717,9274,6.9,1117.892,683,8.05,5.3502648
31/03/1989,68.137013,155626,8118,6.7,1147.106,713.8,8.05,5.5249763
30/06/1989,68.894535,163547,8570,5.8,1179.259,736.4,8.05,5.7862361
30/09/1989,68.253159,166761,8721,6,1216.935,752.8,8.05,6.1848138
31/12/1989,68.635029,178154,9373,5.9,1228.812,764.1,8.05,5.9403967
31/03/1990,69.380467,158881,8096,6.5,1244.017,780.5,8.05,5.8329476
30/06/1990,71.040716,165254,8467,6.4,1257.47,797,8.05,5.7803913
30/09/1990,69.830578,166709,8515,7.3,1256.25,795.9,8.05,5.6934619
31/12/1990,70.423586,176782,9072,8.1,1259.08,801.1,8.3,5.4633459
31/03/1991,71.049071,156289,7753,9.6,1292.834,818.5,8.3,5.1550223
30/06/1991,71.796359,160354,7971,9,1312.052,826.8,8.3,5.1014165
30/09/1991,71.510371,163537,8130,10,1348.407,847.3,8.55,4.6056393
31/12/1991,73.969801,173547,8692,10.5,1370.954,854.5,8.55,4.484668
31/03/1992,73.866846,160670,7861,10.9,1363.103,845.2,8.7,4.2543964
30/06/1992,74.550663,165975,8153,10.5,1389.026,860.7,9,4.1054346
30/09/1992,76.353542,168007,8247,10.6,1405.074,871.9,9.35,4.1933067
31/12/1992,76.457419,180115,8932,11.2,1422.965,883.2,9.45,4.3259237
31/03/1993,76.544533,168950,8217,11.3,1435.685,878.1,9.45,4.3665727
30/06/1993,79.083109,172103,8380,10.7,1458.575,895.6,9.45,4.340976
30/09/1993,80.001392,173211,8424,10.7,1494.661,907.9,9.6,4.4008442
31/12/1993,81.779476,186699,9178,10.7,1546.178,933.6,9.6,4.3028276
31/03/1994,83.0437,174617,8413,10.8,1574.191,967.5,9.35,4.3385675
30/06/1994,85.431191,179105,8643,9.5,1578.903,980.8,8.35,4.4223015
30/09/1994,87.141271,182569,8806,9.3,1606.846,1003.4,7.75,4.6894966
31/12/1994,88.628325,193564,9421,8.9,1608.793,1014.7,6.85,5.0896644
31/03/1995,88.953035,178395,8479,9,1608.143,1013.7,6.85,5.4285862
30/06/1995,90.289355,186581,8908,8.1,1638.49,1028.1,5.85,5.5169442
30/09/1995,91.770248,189201,9032,8.4,1643.367,1020.9,5.85,5.5415382
31/12/1995,94.307415,202497,9743,8.1,1642.337,1020.9,5.75,5.6078638
31/03/1996,95.319598,187202,8814,8.8,1662.022,1038.3,5.75,5.6947836
30/06/1996,97.026572,195409,9235,8,1689.389,1065,5.8,5.6298148
30/09/1996,98.599209,196646,9269,8.6,1722.054,1076.3,5.8,5.3347691
31/12/1996,99.638159,215808,10304,8.5,1796.29,1133.8,5.8,5.1216727
31/03/1997,100.84537,193824,8995,9,1814.382,1149.2,5.8,4.7728902
30/06/1997,103.54102,204915,9579,8.1,1878.465,1190.3,6.05,4.6426869
30/09/1997,106.18503,207318,9681,8.1,1948.868,1232.4,6.3,4.5497099
31/12/1997,108.87758,222950,10510,7.8,1923.897,1220.1,6.65,4.5368189
31/03/1998,109.74151,204810,9429,8.2,1946.545,1229.4,6.65,4.5764831
30/06/1998,113.28354,213017,9846,7.6,1972.062,1260.2,6.65,4.6179246
30/09/1998,115.44276,214830,9906,7.6,2005.023,1290,6.9,4.5766413
31/12/1998,119.11238,232267,10822,7,2050.986,1308.4,7.15,4.6733354
31/03/1999,120.42325,214616,9789,7.3,2131.289,1367,7.4,4.6044476
30/06/1999,122.39695,220812,10073,6.5,2148.028,1380.3,7.4,4.4999689
30/09/1999,123.46485,225364,10288,7.1,2218.284,1447.1,7.4,4.6452258
31/12/1999,125.36109,239886,11023,6.6,2333.985,1512.8,7.4,4.7917439
31/03/2000,125.97841,227306,10257,6.9,2343.239,1522.1,7.4,5.1272731
30/06/2000,129.52069,233466,10538,5.9,2358.608,1542.6,7.4,5.6621656
30/09/2000,127.21273,235168,10603,6,2375.904,1562.1,7.8,5.4869251
31/12/2000,127.28461,245675,11111,6.1,2408.632,1580.6,7.8,5.7714389
31/03/2001,127.80771,230418,10222,6.8,2493.097,1663.8,7.8,5.5983699
30/06/2001,128.14744,236781,10506,6.7,2608.89,1718.2,7.8,5.2135445
30/09/2001,130.06623,241259,10714,6.9,2660.628,1823,7.8,5.313818
31/12/2001,130.77143,257583,11521,6.7,2745.732,1845.6,7.8,5.1023715
31/03/2002,132.51178,240214,10532,6.7,2813.946,1903.1,7.8,5.1800287
30/06/2002,132.69862,249529,10971,6.3,2889.029,2007.8,7.8,5.729919
30/09/2002,136.19405,251905,11059,6.4,2961.013,2127,7.8,5.905146
31/12/2002,139.10881,267350,11806,6,2976.737,2148.5,7.8,6.0136404
31/03/2003,141.22704,246309,10628,6.4,3048.311,2235.8,7.8,6.0365311
30/06/2003,144.21432,255291,11039,5.9,3184.248,2357,7.8,6.1453463
30/09/2003,147.11177,261310,11303,5.8,3324.275,2477.2,7.55,6.4441823
31/12/2003,149.59941,282108,12316,5.6,3443.579,2573.7,7.3,6.838372
31/03/2004,152.8178,262133,11210,5.7,3550.341,2632.3,7.3,7.2123233
30/06/2004,155.27939,271637,11640,5.3,3624.002,2663.1,7.4,7.2463733
