Hospital,Geog. Region,Control,Service,Beds,Admissions,Census,Outpat. Visits,Births,Tot. Exp.,Payroll Exp.,Personnel
1,1,2,1,210,7713,107,86982,312,56831,22061,792
2,1,1,1,347,16065,198,149222,1077,127223,55799,1762
3,1,2,1,511,23028,356,222565,1027,157093,61326,2310
4,1,1,1,142,4338,100,36710,355,24462,10503,328
5,7,1,1,40,905,9,13350,168,13730,6368,181
6,4,2,1,220,15563,159,88721,3810,93257,33920,1077
7,4,4,1,137,5347,65,188885,735,45458,26919,742
8,4,2,1,80,636,48,10209,1,6151,2768,131
9,1,2,1,440,15954,253,77343,1733,98992,40956,1594
10,1,1,1,48,1827,21,33977,257,11569,5664,233
11,1,1,1,56,1617,27,17925,169,11356,5084,241
12,6,3,1,46,2954,30,27170,430,15200,7085,203
13,6,3,1,109,2805,43,30263,0,20848,9709,325
14,6,2,1,306,9871,233,43128,2049,62778,28958,676
15,6,4,1,7,756,2,96000,211,20300,12300,347
16,6,1,1,16,342,11,7217,16,3836,2015,79
17,6,3,1,167,8426,84,66073,2648,41417,20633,505
18,6,2,1,444,18258,219,170223,2450,144966,61667,1543
19,6,3,1,236,8280,112,31022,1465,67997,31285,755
20,6,3,1,247,5449,124,44425,0,123175,41899,959
21,6,3,1,93,5247,50,29551,1993,28318,12589,325
22,6,2,1,236,11301,142,90178,2275,88080,32191,954
23,6,2,1,220,9466,111,172146,1494,107313,38668,1091
24,6,1,1,228,10444,140,95649,1313,116486,49017,671
25,6,3,1,83,2648,28,15507,451,20625,3009,300
26,6,2,1,273,9249,154,51102,1689,67519,28066,753
27,6,2,1,225,7763,150,91654,1583,60080,21944,607
28,6,3,1,236,10688,144,68482,2017,94401,38757,929
29,6,3,1,80,6671,42,35221,995,26094,13464,354
30,6,2,1,78,7761,77,37370,2045,38825,15951,408
31,5,2,1,197,9553,119,153994,1686,105672,46710,1251
32,5,2,1,60,2730,27,16060,503,29444,12583,386
33,5,2,1,31,1112,15,36735,126,8496,3918,144
34,2,2,1,264,13395,179,267091,2026,153844,86780,2047
35,2,2,1,246,12264,175,140152,1412,128312,63615,1343
36,2,2,1,556,12811,461,68330,1517,122809,63516,1723
37,1,3,2,56,860,32,5778,0,7079,3202,96
38,1,2,1,120,5502,74,36461,0,50823,20346,529
39,1,1,1,674,26547,414,294682,2719,367706,165344,3694
40,1,2,1,414,12260,253,81885,1074,85696,34117,1042
41,1,3,1,320,4147,180,47636,1421,29699,12391,1071
42,1,1,1,315,12804,184,92458,762,108848,43575,1525
43,1,2,1,344,16539,243,185313,3194,141031,56421,1983
44,1,2,1,168,7566,115,66309,496,56207,22128,670
45,1,1,1,315,15853,215,93373,1442,131297,52366,1653
46,1,3,2,88,2662,48,6533,0,9617,4735,167
47,1,3,1,245,8733,124,78773,1107,63442,28088,793
48,1,2,1,311,15196,189,115155,2989,109394,47744,841
49,1,1,1,233,1466,181,18659,113,9840,5593,316
50,1,1,1,46,812,9,11519,0,4417,2455,93
51,1,3,1,103,2312,28,30661,0,31628,10847,373
52,1,2,1,331,2305,288,35600,173,20848,10389,263
53,1,1,1,186,10541,108,76176,1064,56185,24373,943
54,1,2,1,177,4469,154,57104,759,43406,21388,605
55,7,2,1,149,5994,76,111901,1317,40014,17450,596
56,7,3,1,286,11142,165,173393,1751,75810,32620,1165
57,3,1,2,488,508,295,0,0,26298,21070,568
58,3,3,1,242,5682,101,37461,0,57236,21461,507
59,3,2,1,128,5511,69,37898,714,30063,14717,479
60,3,2,1,33,925,12,24679,99,7947,3388,136
61,3,2,1,255,13780,185,146454,2243,143118,56630,1456
62,3,2,1,481,28390,378,796525,3966,270244,113093,3486
63,3,2,1,191,9899,114,85986,1308,83223,38537,885
64,3,3,2,60,1247,49,35955,0,20151,8139,243
65,3,2,1,155,9893,106,192386,2514,105523,40048,1001
66,3,2,1,626,31452,460,236900,3714,323725,143991,3301
67,3,2,1,105,1456,43,47152,126,15701,7478,337
68,3,4,1,59,4706,29,292105,556,33014,6272,1193
69,3,2,1,258,9950,125,121004,1327,88222,35949,1161
70,3,2,1,47,1940,17,45057,415,22274,11191,322
71,3,1,1,22,1241,10,31833,216,10900,5542,185
72,3,3,1,53,1475,14,43357,339,14830,6624,205
73,3,1,1,244,9731,173,103595,1217,71691,33804,1224
74,3,2,1,352,14974,207,110754,2641,155097,61771,1704
75,3,2,1,366,7284,223,181430,790,55926,24520,815
76,3,2,1,194,5356,82,48413,520,42104,17721,712
77,3,1,1,109,458,64,26770,35,6428,3280,156
78,3,2,1,285,11624,139,599315,1168,127796,56476,1769
79,3,2,1,175,8080,109,200048,793,65083,28006,875
80,3,1,2,342,1259,298,0,0,28246,18783,790
81,3,3,1,140,2876,52,3192,0,22324,9346,308
82,3,1,1,50,404,34,13468,14,2547,1235,70
83,3,1,2,214,794,168,0,0,21517,13795,494
84,3,3,2,80,746,21,10074,0,4861,2591,111
85,1,4,1,467,6122,390,179676,0,114160,69051,1618
86,1,1,1,80,823,47,10409,0,8086,3623,244
87,1,2,1,160,6584,80,91769,776,45492,18955,525
88,1,3,1,106,3870,50,53424,451,24529,9420,472
89,1,3,2,40,859,113,2251,0,4663,2569,94
90,1,2,1,99,3313,45,30814,145,16296,7925,297
91,1,1,1,133,6306,76,172253,1284,55663,22064,847
92,1,3,1,138,2764,129,17907,1,32936,10177,234
93,2,2,1,88,4112,60,85800,319,29164,13663,401
94,2,2,1,573,26392,418,121321,2154,329667,128158,3928
95,2,2,1,44,1497,17,35357,295,17714,7700,198
96,2,2,1,225,8187,138,89248,496,84347,45164,1231
