Y,X,region,year
61,1704,A,1
68,1885,A,1
72,1745,A,1
72,2394,A,1
62,1966,A,1
91,2817,A,1
104,2685,A,1
99,2521,A,1
70,2127,A,1
82,2184,B,1
84,1990,B,1
84,2435,B,1
104,2099,B,1
84,1936,B,1
103,1916,B,1
86,1863,B,1
69,2037,B,1
94,1697,B,1
79,1644,B,1
80,1894,B,1
98,2001,B,1
124,2760,C,1
92,2221,C,1
67,1674,C,1
66,1509,C,1
65,1384,C,1
57,1218,C,1
60,1487,C,1
74,1876,C,1
49,1397,C,1
60,1439,C,1
59,1359,C,1
68,1053,C,1
56,1225,C,1
72,1576,C,1
80,1740,C,1
79,1814,C,1
95,1920,D,1
79,1701,D,1
142,2088,D,1
108,2047,D,1
94,1838,D,1
107,1932,D,1
109,1753,D,1
114,2569,D,1
112,2160,D,1
105,2006,D,1
129,2557,D,1
107,1900,D,1
77,1852,D,1
79,1588,A,2
59,2019,A,2
120,1832,A,2
58,2595,A,2
70,2309,A,2
83,3016,A,2
151,2911,A,2
104,2714,A,2
91,2179,A,2
62,2269,B,2
84,2172,B,2
79,2741,B,2
123,2435,B,2
99,2123,B,2
152,2101,B,2
124,2025,B,2
67,2017,B,2
67,1490,B,2
77,1636,B,2
38,1999,B,2
86,2063,B,2
138,2555,C,2
137,2502,C,2
70,1828,C,2
39,1230,C,2
45,1424,C,2
39,1140,C,2
46,1541,C,2
81,1951,C,2
30,1405,C,2
27,1339,C,2
2,1097,C,2
20,841,C,2
24,1082,C,2
52,1394,C,2
25,1640,C,2
45,1789,C,2
128,1702,D,2
60,1428,D,2
128,1950,D,2
82,2100,D,2
117,1411,D,2
97,1787,D,2
91,1550,D,2
115,2717,D,2
105,2448,D,2
123,2077,D,2
163,2728,D,2
162,2906,D,2
102,2273,D,2
45,1297,A,3
41,1931,A,3
80,1364,A,3
71,2586,A,3
110,2133,A,3
127,3242,A,3
117,2116,A,3
95,3112,A,3
110,2247,A,3
31,2365,B,3
74,2261,B,3
118,3106,B,3
129,2092,B,3
102,1987,B,3
108,2274,B,3
42,2222,B,3
41,2025,B,3
56,2135,B,3
40,1649,B,3
78,2180,B,3
42,2210,B,3
154,2893,C,3
140,2684,C,3
71,2068,C,3
24,1181,C,3
55,1473,C,3
43,1170,C,3
60,1596,C,3
53,2000,C,3
26,1320,C,3
22,1299,C,3
18,1077,C,3
25,801,C,3
31,1033,C,3
54,1178,C,3
44,1542,C,3
79,1689,C,3
112,1771,D,3
78,1676,D,3
133,2166,D,3
114,2399,D,3
42,2265,D,3
142,1857,D,3
125,1358,D,3
101,2913,D,3
122,2342,D,3
126,2050,D,3
142,2791,D,3
106,2966,D,3
121,2662,D,3
