acctno,mail_1,mail_2,mail_3,mail_4,mail_5,mail_6,mail_7,mail_8,mail_9,mail_10,mail_11,mail_12,mail_13,mail_14,mail_15,mail_16
WLPAQS,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0
WGDQLA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
WDPSHS,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
APSYYW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SDHLPH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GGDWGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HHSSAL,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
YQDLLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DAAHLH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DLWWDP,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
DGDSAD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WWSWWPS,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
WWPYSGQ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
WWLYGYA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WWLYGYA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WWGGQHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WWGGSDG,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
WAWYWSQ,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
WAGSLSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WSQGPWP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WLGLADQ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
WLGHYPW,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
WGWQGDQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
