"Month","OriginApt","DestApt","OriginWAC","DestWAC","Carrier","Group","Type","Total","Scheduled","Charter"
201401,AEX,BOG,72,327,K8,1,Passengers,77,0,77
201401,AEX,GUA,72,127,FCQ,1,Passengers,398,0,398
201401,AEX,GUA,72,127,XP,1,Passengers,68,0,68
201401,AEX,GYE,72,337,FCQ,1,Passengers,202,0,202
201401,AEX,MGA,72,153,FCQ,1,Passengers,17,0,17
201401,AEX,PAP,72,238,K8,1,Passengers,73,0,73
201401,AEX,SAL,72,118,XP,1,Passengers,88,0,88
201401,AEX,SAP,72,131,09Q,1,Passengers,169,0,169
201401,AEX,SAP,72,131,FCQ,1,Passengers,235,0,235
201401,AEX,SAP,72,131,K8,1,Passengers,15,0,15
201401,AEX,SDQ,72,224,K8,1,Passengers,137,0,137
201401,ALB,YEG,22,916,UA,3,Passengers,30,30,0
201401,ALB,YHZ,22,951,EV,3,Passengers,42,42,0
201401,ANC,HKG,1,729,UA,3,Passengers,263,263,0
201401,ANC,HRB,1,713,NA,2,Passengers,243,0,243
201401,ANC,MNL,1,766,PR,0,Passengers,"1,024","1,024",0
201401,ANC,NRT,1,736,DL,3,Passengers,360,360,0
201401,ANC,PVG,1,713,AA,3,Passengers,196,196,0
201401,ANC,YYC,1,916,UA,3,Passengers,125,125,0
201401,AST,YVR,92,906,14Q,0,Passengers,2,0,2
201401,ATL,AMS,34,461,DL,3,Passengers,"28,837","28,837",0
201401,ATL,AMS,34,461,KL,0,Passengers,"12,613","12,613",0
201401,ATL,ANU,34,206,DL,3,Passengers,"1,218","1,218",0
201401,ATL,AUA,34,277,DL,3,Passengers,"9,880","9,880",0
201401,ATL,AUA,34,277,FL,3,Passengers,"3,447","3,447",0
201401,ATL,BDA,34,207,DL,3,Passengers,"4,523","4,523",0
201401,ATL,BJX,34,148,EV,3,Passengers,"3,035","3,035",0
201401,ATL,BOG,34,327,DL,3,Passengers,"7,648","7,648",0
201401,ATL,BON,34,260,DL,3,Passengers,"1,280","1,280",0
201401,ATL,BRU,34,409,DL,3,Passengers,"5,813","5,813",0
201401,ATL,BSB,34,316,DL,3,Passengers,"8,935","8,935",0
201401,ATL,BZE,34,106,DL,3,Passengers,"8,877","8,877",0
201401,ATL,CCS,34,388,DL,3,Passengers,"9,504","9,504",0
201401,ATL,CDG,34,427,AF,0,Passengers,"30,906","30,906",0
201401,ATL,CDG,34,427,DL,3,Passengers,"9,985","9,985",0
201401,ATL,CUN,34,148,DL,3,Passengers,"50,188","50,188",0
201401,ATL,CUN,34,148,FL,3,Passengers,"13,334","13,334",0
201401,ATL,CZM,34,148,DL,3,Passengers,"6,535","6,535",0
201401,ATL,DUB,34,441,DL,3,Passengers,"3,129","3,129",0
201401,ATL,DUS,34,429,DL,3,Passengers,"7,100","7,100",0
201401,ATL,DXB,34,678,DL,3,Passengers,"14,757","14,757",0
201401,ATL,EZE,34,303,DL,3,Passengers,"12,796","12,796",0
201401,ATL,FAB,34,493,CRV,0,Passengers,8,0,8
201401,ATL,FCO,34,450,DL,3,Passengers,"11,799","11,799",0
201401,ATL,FPO,34,204,DL,3,Passengers,919,919,0
201401,ATL,FPO,34,204,EV,3,Passengers,"2,639","2,639",0
201401,ATL,FRA,34,429,DL,3,Passengers,"11,199","11,199",0
201401,ATL,FRA,34,429,LH,0,Passengers,"9,956","9,956",0
201401,ATL,GCM,34,233,DL,3,Passengers,"7,784","7,784",0
201401,ATL,GDL,34,148,DL,3,Passengers,"8,029","8,029",0
201401,ATL,GGT,34,204,EV,3,Passengers,"1,213","1,213",0
201401,ATL,GIG,34,316,DL,3,Passengers,"13,723","13,723",0
201401,ATL,GRU,34,316,DL,3,Passengers,"14,292","14,292",0
201401,ATL,GUA,34,127,DL,3,Passengers,"16,204","16,204",0
201401,ATL,GUA,34,127,XP,1,Passengers,30,0,30
201401,ATL,ICN,34,778,KE,0,Passengers,"23,881","23,881",0
201401,ATL,JNB,34,562,DL,3,Passengers,"14,225","14,225",0
201401,ATL,KIN,34,243,DL,3,Passengers,"6,499","6,499",0
201401,ATL,LHR,34,493,BA,0,Passengers,"10,973","10,973",0
201401,ATL,LHR,34,493,DL,3,Passengers,"28,625","28,625",0
201401,ATL,LHR,34,493,UA,3,Passengers,213,213,0
201401,ATL,LIM,34,368,DL,3,Passengers,"11,431","11,431",0
201401,ATL,LIR,34,110,DL,3,Passengers,"9,473","9,473",0
201401,ATL,LOS,34,555,DL,3,Passengers,"10,462","10,462",0
201401,ATL,MAD,34,482,DL,3,Passengers,"5,811","5,811",0
201401,ATL,MAN,34,493,DL,3,Passengers,"7,814","7,814",0
201401,ATL,MBJ,34,243,DL,3,Passengers,"22,491","22,491",0
201401,ATL,MBJ,34,243,FL,3,Passengers,"6,250","6,250",0
201401,ATL,MEX,34,148,5D,0,Passengers,120,120,0
201401,ATL,MEX,34,148,AM,0,Passengers,"4,787","4,787",0
201401,ATL,MEX,34,148,DL,3,Passengers,"30,413","30,413",0
201401,ATL,MGA,34,153,DL,3,Passengers,"7,106","7,106",0
201401,ATL,MTY,34,148,EV,3,Passengers,"9,342","9,342",0
201401,ATL,MUC,34,429,DL,3,Passengers,"11,077","11,077",0
201401,ATL,MVD,34,385,DL,3,Passengers,189,189,0
201401,ATL,NAS,34,204,DL,3,Passengers,"20,944","20,944",0
201401,ATL,NAS,34,204,FL,3,Passengers,"2,953","2,953",0
201401,ATL,NRT,34,736,DL,3,Passengers,"21,209","21,209",0
201401,ATL,PAP,34,238,DL,3,Passengers,"1,119","1,119",0
201401,ATL,PLS,34,281,DL,3,Passengers,"7,305","7,305",0
201401,ATL,PTY,34,162,DL,3,Passengers,"8,926","8,926",0
201401,ATL,PUJ,34,224,DL,3,Passengers,"22,256","22,256",0
201401,ATL,PUJ,34,224,FL,3,Passengers,"9,743","9,743",0
201401,ATL,PVR,34,148,DL,3,Passengers,"2,247","2,247",0
201401,ATL,RTB,34,131,DL,3,Passengers,"1,172","1,172",0
201401,ATL,SAL,34,118,DL,3,Passengers,"6,962","6,962",0
201401,ATL,SAL,34,118,XP,1,Passengers,60,0,60
201401,ATL,SAP,34,131,DL,3,Passengers,"7,032","7,032",0
201401,ATL,SCL,34,324,DL,3,Passengers,"11,616","11,616",0
201401,ATL,SDQ,34,224,DL,3,Passengers,"8,858","8,858",0
201401,ATL,SJD,34,148,DL,3,Passengers,"7,203","7,203",0
201401,ATL,SJO,34,110,DL,3,Passengers,"19,676","19,676",0
201401,ATL,SKB,34,275,DL,3,Passengers,871,871,0
201401,ATL,STI,34,224,DL,3,Passengers,156,156,0
201401,ATL,STR,34,429,DL,3,Passengers,"7,187","7,187",0
201401,ATL,SXM,34,264,DL,3,Passengers,"7,432","7,432",0
201401,ATL,TGU,34,131,DL,3,Passengers,"6,121","6,121",0
201401,ATL,UIO,34,337,DL,3,Passengers,"7,225","7,225",0
201401,ATL,UVF,34,276,DL,3,Passengers,"4,165","4,165",0
201401,ATL,YUL,34,941,EV,3,Passengers,"11,456","11,456",0
201401,ATL,YYZ,34,936,AC,0,Passengers,106,0,106
201401,ATL,YYZ,34,936,EV,3,Passengers,"22,644","22,644",0
201401,ATL,YYZ,34,936,QK,0,Passengers,"9,289","9,289",0
201401,ATL,ZRH,34,486,DL,3,Passengers,"5,871","5,871",0
201401,AUS,CUN,74,148,FL,3,Passengers,"2,837","2,837",0
201401,AUS,CUN,74,148,UA,3,Passengers,209,209,0
201401,AZA,GUA,81,127,FCQ,1,Passengers,"1,245",0,"1,245"
201401,AZA,MEX,81,148,FCQ,1,Passengers,139,0,139
201401,AZA,SAL,81,118,FCQ,1,Passengers,386,0,386
201401,AZA,SAP,81,131,FCQ,1,Passengers,474,0,474
201401,BCT,YYZ,33,936,13Q,0,Passengers,4,0,4
201401,BDL,CUN,11,148,DL,3,Passengers,"1,107","1,107",0
201401,BDL,YQB,11,941,RP,2,Passengers,21,21,0
201401,BDL,YUL,11,941,MQ,3,Passengers,56,56,0
201401,BDL,YUL,11,941,ZX,0,Passengers,880,880,0
201401,BDL,YYZ,11,936,MQ,3,Passengers,40,40,0
201401,BDL,YYZ,11,936,QK,0,Passengers,262,262,0
201401,BDL,YYZ,11,936,ZX,0,Passengers,"1,382","1,382",0
201401,BED,LBG,13,427,SVW,0,Passengers,10,0,10
201401,BFI,PPT,93,823,0WQ,1,Passengers,10,0,10
201401,BFI,YCD,93,906,KAH,1,Passengers,32,0,32
201401,BFI,YVR,93,906,14Q,0,Passengers,59,0,59
201401,BFI,YXX,93,906,KAH,1,Passengers,1,0,1
201401,BFL,YWS,91,906,14Q,0,Passengers,6,0,6
201401,BGR,AMS,12,461,US,3,Passengers,416,416,0
201401,BGR,ARN,12,484,UA,3,Passengers,155,155,0
201401,BGR,BCN,12,482,UA,3,Passengers,126,126,0
201401,BGR,CDG,12,427,AA,3,Passengers,319,319,0
201401,BGR,DEL,12,733,UA,3,Passengers,223,223,0
201401,BGR,FCO,12,450,US,3,Passengers,182,182,0
201401,BGR,FRA,12,429,UA,3,Passengers,150,150,0
201401,BGR,LHR,12,493,EY,0,Passengers,243,0,243
201401,BGR,MAD,12,482,AA,3,Passengers,490,490,0
201401,BGR,MEX,12,148,AM,0,Passengers,146,146,0
201401,BGR,STR,12,429,UA,3,Passengers,142,142,0
201401,BGR,YUL,12,941,AA,3,Passengers,150,150,0
201401,BLI,YVR,93,906,14Q,0,Passengers,6,0,6
201401,BNA,CUN,54,148,DL,3,Passengers,660,660,0
201401,BNA,YVR,54,906,DL,3,Passengers,41,0,41
201401,BNA,YWG,54,926,DL,3,Passengers,43,0,43
201401,BNA,YYC,54,916,AC,0,Passengers,47,0,47
201401,BNA,YYZ,54,936,QK,0,Passengers,"3,168","3,168",0
201401,BOI,YVR,83,906,14Q,0,Passengers,5,0,5
201401,BOS,AMS,13,461,DL,3,Passengers,"14,741","14,741",0
201401,BOS,AUA,13,277,B6,3,Passengers,"9,290","9,290",0
