 columnname                     columntype    length description                                                                                                                                                                                                                                                     
 ------------------------------ ------------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
 c5                             Char              15 Unique control number used to relate to AID_MAIN table.                                                                                                                                                                                                         
 c1                             Char               1 Type of Event                                                                                                                                                                                                                                                   
 c2                             Char               3 FAR part number                                                                                                                                                                                                                                                 
 c3                             Char               3 Form on which the latest data was received.                                                                                                                                                                                                                     
 c4                             Char               1 Agency conducting investigation.                                                                                                                                                                                                                                
 c6                             Char               4 Year the accident/incident happened.                                                                                                                                                                                                                            
 c7                             Char               2 Month the accident/incident happened.                                                                                                                                                                                                                           
 c8                             Char               2 Day the accident/incident happened.                                                                                                                                                                                                                             
 c9                             VarChar            8 Date the accident/incident happened.                                                                                                                                                                                                                            
 c10                            Char               4 Local time of the accident/incident.                                                                                                                                                                                                                            
 c75                            Char               1 First, second, or third airplane involved or Not a midair.                                                                                                                                                                                                      
 c132                           Char               1 First remedial action area code                                                                                                                                                                                                                                 
 c134                           Char               1 First remedial action taken code                                                                                                                                                                                                                                
 c136                           Char               1 Second remedial action area code                                                                                                                                                                                                                                
 c138                           Char               1 Second remedial action taken code                                                                                                                                                                                                                               
 c139                           Char               1 Code for related reports pertaining to the accident/incident.                                                                                                                                                                                                   
 c140                           Char               1 Extent of investigation                                                                                                                                                                                                                                         
 c141                           Char               3 Method of notification                                                                                                                                                                                                                                          
 c144                           Char               4 Code for Aircraft Design                                                                                                                                                                                                                                        
 c145                           Char               1 Code for Weight  Class                                                                                                                                                                                                                                          
 c147                           Char               1 Wing information of the aircraft involved in the investigation.                                                                                                                                                                                                 
 c149                           Char               1 Powered, Nonpowered, Optional                                                                                                                                                                                                                                   
 c151                           VarChar            2 Number of engines on aircraft                                                                                                                                                                                                                                   
 c152                           Char               4 Code representing typical engine design characteristics of a specific aircraft model.                                                                                                                                                                           
 c153                           Char               1 Under or over 750 hp.                                                                                                                                                                                                                                           
 c155                           Char               1 Type of the engine code.                                                                                                                                                                                                                                        
 c157                           Char               2 Type of Landing Gear code.                                                                                                                                                                                                                                      
 c160                           Char               2 Additional cause factor code                                                                                                                                                                                                                                    
 c162                           Char               2 2nd Additional cause factor code                                                                                                                                                                                                                                
 c203                           Char               6 This field is generated by the system so no edits are performed.                                                                                                                                                                                                
 c204                           Char               5 Sequential number assigned to cases dealt with in the current year.                                                                                                                                                                                             
 c214                           Char               1 Group of the air operator involved in the investigation.                                                                                                                                                                                                        
 c233                           Char               1 Flag to indicate if the pilot was killed.                                                                                                                                                                                                                       
 c234                           Char               1 Flag to indicate if the second pilot was killed.                                                                                                                                                                                                                
 c790                           Char               1 Consolidated Statement Rebuttal                                                                                                                                                                                                                                 
 c22                            Char               5 Aircraft Registration or "N" Number .                                                                                                                                                                                                                           
 c23                            Char               6 Make of the aircraft                                                                                                                                                                                                                                            
 c24                            Char              12 Model of the aircraft                                                                                                                                                                                                                                           
 c25                            Char               6 Group of the aircraft                                                                                                                                                                                                                                           
 c26                            Char               8 Technical certificate data sheet information of the aircraft                                                                                                                                                                                                    
 c27                            Char               2 Region of certification for the aircraft                                                                                                                                                                                                                        
 c30                            Char               4 Airworthiness class code of the aircraft                                                                                                                                                                                                                        
 c31                            VarChar            5 Airframe hours of the aircraft                                                                                                                                                                                                                                  
 c32                            VarChar            2 This field contains the year of manufacture of the aircraft                                                                                                                                                                                                     
 c33                            Char               2  Low wing, high wing, rotary wing, etc.                                                                                                                                                                                                                         
 c34                            Char               6 Make of the engine                                                                                                                                                                                                                                              
 c35                            Char              13 Model of the engine                                                                                                                                                                                                                                             
 c36                            Char               6 Group of the engine                                                                                                                                                                                                                                             
 c37                            Char               8 Technical certificate data sheet information of the engine                                                                                                                                                                                                      
 c38                            Char               2 Certificating region of the engine                                                                                                                                                                                                                              
 c39                            Char               5 Piston, turbine, turboprop, etc.                                                                                                                                                                                                                                
 c11                            Char               2 Region of the accident/incident location.                                                                                                                                                                                                                       
 c12                            Char               4 District office of the accident/incident location.                                                                                                                                                                                                              
 c13                            Char               2 State of the accident/incident location.                                                                                                                                                                                                                        
 c14                            Char              15 City of the accident/incident location.                                                                                                                                                                                                                         
 c15                            Char              30 Name of the airport                                                                                                                                                                                                                                             
 c16                            Char               4 Airport runway number                                                                                                                                                                                                                                           
 c17                            Char               4 Location identification code of the nearest airport, if not on airport.                                                                                                                                                                                         
 c18                            Char               3 Direction from the airport location identifier.                                                                                                                                                                                                                 
 c19                            Char               2 Distance from the airport location identifier.                                                                                                                                                                                                                  
 c20                            Char               6 Latitude coordinates of the accident/incident                                                                                                                                                                                                                   
 c21                            Char               6 Longitude coordinates of the accident/incident                                                                                                                                                                                                                  
 c102                           Char               1 Primary type of flying code                                                                                                                                                                                                                                     
 c104                           Char               1 Secondary type of flying code                                                                                                                                                                                                                                   
 c106                           Char               1 Primary flying condition code                                                                                                                                                                                                                                   
 c108                           Char               1 Secondary flying condition code                                                                                                                                                                                                                                 
 c110                           Char               1 Light condition code                                                                                                                                                                                                                                            
 c112                           Char               4 Sky condition code                                                                                                                                                                                                                                              
 c113                           Char               4 Cloud ceiling                                                                                                                                                                                                                                                   
 c114                           Char               3 Visibility code                                                                                                                                                                                                                                                 
 c115                           Char               3 Visibility restriction code.                                                                                                                                                                                                                                    
