AIRPORT_ID	AIRPORT_NAME	AIRPORT_CITY	AIRPORT_STATE	AIRPORT_COUNTRY	ICAO	LCHG_DATE	RECORD_STATUS	Record_End
00A 	TOTAL RF                                          	BENSALEM              	PA	  	 	07/10/2002	A	 
00AK	LOWELL FIELD                                      	ANCHOR POINT          	AK	  	 	08/03/2006	A	 
00AL	EPPS AIRPARK                                      	HARVEST               	AL	  	 	05/29/2002	A	 
00AR	NEWPORT HOSPITAL & CLINIC                         	NEWPORT               	AR	  	 	06/05/2008	I	 
00AZ	CORDES                                            	CORDES                	AZ	  	 	03/19/2013	I	 
00B 	BUCKEYE EXECUTIVE                                 	HEBRON                	OH	  	 	11/19/2012	I	 
00C 	ANIMAS AIR PARK                                   	DURANGO               	CO	  	 	06/04/2002	A	 
00CA	GOLDSTONE /GTS/                                   	BARSTOW               	CA	  	 	06/02/1989	A	 
00CL	NATOMAS FIELD                                     	SACRAMENTO            	CA	  	 	04/13/2006	I	 
00CO	CASS FIELD                                        	BRIGGSDALE            	CO	  	 	06/04/2002	A	 
00D 	ROGERSBURG                                        	LEWISTON              	ID	  	 	05/16/2005	I	 
00E 	LAVA HOT SPRINGS                                  	LAVA HOT SPRINGS      	ID	  	 	11/20/2008	I	 
00F 	BROADUS                                           	BROADUS               	MT	  	 	04/13/2006	A	 
00FA	GRASS PATCH                                       	BUSHNELL              	FL	  	 	06/04/2002	A	 
00FD	RINGHAVER                                         	RIVERVIEW             	FL	  	 	02/07/2014	I	 
00FL	RIVER OAK                                         	OKEECHOBEE            	FL	  	 	06/02/1989	A	 
00G 	TAYLOR-VAN GELDER                                 	HAMMONDSPORT          	NY	  	 	10/31/2003	I	 
00GA	LT WORLD                                          	LITHONIA              	GA	  	 	06/11/2002	A	 
00GE	CAFFREY                                           	HIRAM                 	GA	  	 	05/13/2003	A	 
00HI	KAUPULEHU                                         	KAILUA/KONA           	HI	  	 	06/11/2002	A	 
00I 	CHAPMAN MEMORIAL FIELD                            	CENTERBURG            	OH	  	 	10/02/2002	I	 
00ID	DELTA SHORES                                      	CLARK FORK            	ID	  	 	05/16/2005	A	 
00II	BAILEY GENERATION STATION                         	CHESTERTON            	IN	  	 	06/05/2008	I	 
00IL	HAMMER                                            	POLO                  	IL	  	 	06/11/2002	A	 
00IN	ST MARY MEDICAL CENTER                            	HOBART                	IN	  	 	06/11/2002	A	 
00IS	HAYENGA'S CANT FIND FARMS                         	KINGS                 	IL	  	 	06/02/1989	A	 
00J 	GEORGIA-PACIFIC                                   	CEDAR SPRINGS         	GA	  	 	10/02/2002	I	 
00K 	REDPATH RLA                                       	BALDWIN               	IL	  	 	10/02/2002	I	 
00KS	HAYDEN FARM                                       	GARDNER               	KS	  	 	06/02/1989	A	 
