"ID","reg1","reg2","reg3","reg4","home","chld","hinc","genf","wrat","avhv","incm","inca","plow","npro","tgif","lgif","rgif","tdon","tlag","agif","donr","damt","part"
1,0,0,1,0,1,1,4,1,8,302,76,82,0,20,81,81,19,17,6,21.05,0,0,"train"
2,0,0,1,0,1,2,4,0,8,262,130,130,1,95,156,16,17,19,3,13.26,1,15,"train"
3,0,0,1,0,1,1,5,1,8,303,61,90,6,64,86,15,10,22,8,17.37,NA,NA,"test"
4,0,0,0,0,1,1,4,0,8,317,121,121,0,51,56,18,7,14,7,9.59,NA,NA,"test"
5,0,0,1,0,1,0,4,1,4,295,39,71,14,85,132,15,10,10,6,12.07,1,17,"valid"
6,0,1,0,0,1,1,5,0,9,114,17,25,44,83,131,5,3,13,4,4.12,1,12,"train"
7,0,0,0,0,1,3,4,0,8,145,39,42,10,50,74,6,5,22,3,6.5,0,0,"valid"
8,0,0,0,0,1,3,2,0,5,165,34,35,19,11,41,4,2,20,7,3.45,0,0,"valid"
9,0,0,1,0,1,2,3,1,5,194,112,112,0,75,160,28,34,14,4,14,NA,NA,"test"
10,0,0,0,0,1,3,4,1,7,200,38,58,5,42,63,12,10,19,3,9.42,0,0,"train"
11,0,0,1,0,1,3,2,1,8,152,46,46,20,100,414,25,14,39,7,10.12,0,0,"valid"
12,0,0,0,1,1,3,4,1,6,272,69,69,0,98,169,29,36,23,7,8.97,1,17,"train"
13,0,1,0,0,1,0,4,0,9,207,54,54,14,13,34,9,7,19,11,6.28,1,12,"train"
14,0,0,0,1,1,0,4,0,8,108,21,36,32,54,117,5,4,15,9,5.11,1,15,"valid"
15,0,0,1,0,1,0,5,1,8,196,57,82,1,16,71,36,20,22,8,13.44,1,18,"valid"
16,1,0,0,0,0,2,3,1,8,127,24,33,15,39,72,5,4,15,9,5.24,NA,NA,"test"
17,1,0,0,0,1,1,4,0,9,138,19,41,25,92,201,12,10,8,7,11.15,1,13,"train"
18,0,1,0,0,1,0,4,0,9,200,44,48,5,58,61,23,13,15,4,12.84,1,14,"valid"
19,1,0,0,0,1,0,4,1,1,278,79,83,0,87,89,29,16,16,6,8.14,1,12,"train"
20,0,0,1,0,0,2,4,0,3,137,21,40,17,95,186,32,35,23,28,11.7,NA,NA,"test"
21,0,0,1,0,1,0,4,1,9,158,26,33,16,78,117,21,6,19,8,8.68,1,15,"valid"
22,0,0,1,0,1,0,3,0,9,340,85,117,1,22,41,28,25,21,4,15.13,NA,NA,"test"
23,0,0,0,1,1,1,4,1,9,197,64,72,2,56,85,15,8,17,10,10.44,NA,NA,"test"
24,0,0,0,1,1,4,6,1,5,141,32,37,21,65,79,5,5,21,6,3.69,0,0,"train"
25,0,1,0,0,1,2,4,0,6,142,19,40,21,39,94,12,13,19,3,6.94,1,14,"valid"
26,0,0,0,0,1,2,3,1,1,224,55,66,6,134,437,14,14,19,8,9.37,0,0,"train"
27,0,0,0,0,1,1,3,0,8,138,26,32,32,110,252,20,13,15,14,15.86,NA,NA,"test"
28,0,1,0,0,1,3,1,1,9,80,41,41,22,20,45,13,8,16,4,6.63,NA,NA,"test"
29,0,0,0,1,0,2,7,1,8,171,44,55,10,81,101,44,41,15,6,15.24,NA,NA,"test"
30,1,0,0,0,1,1,5,1,9,282,69,87,0,62,70,16,11,22,10,11.61,1,18,"train"
31,0,1,0,0,0,3,1,1,8,130,55,63,4,13,24,16,22,14,6,11.24,NA,NA,"test"
32,1,0,0,0,1,2,4,1,6,213,70,70,6,59,104,17,11,20,9,12.84,1,15,"valid"
33,0,0,1,0,0,1,4,0,2,128,29,35,15,69,78,60,47,18,4,23.81,0,0,"valid"
34,0,1,0,0,1,2,5,0,8,263,40,67,4,76,105,24,21,13,10,19.43,0,0,"train"
35,1,0,0,0,1,2,7,0,7,119,23,57,19,39,74,12,13,18,10,11.77,0,0,"valid"
36,0,0,0,1,1,2,4,0,8,138,44,67,10,86,145,4,3,19,9,5.17,NA,NA,"test"
37,0,1,0,0,1,2,4,1,4,183,27,47,20,75,90,9,15,22,7,7.69,NA,NA,"test"
38,1,0,0,0,1,1,4,0,9,204,79,79,2,59,94,9,8,13,3,5.2,1,13,"train"
39,0,0,1,0,0,0,2,1,9,61,4,18,73,25,69,15,9,14,10,6.85,0,0,"valid"
40,0,1,0,0,1,2,3,1,2,93,29,31,18,94,136,9,4,38,7,5.19,0,0,"train"
41,1,0,0,0,1,0,2,0,6,124,29,30,18,49,68,19,17,25,8,10.4,NA,NA,"test"
42,1,0,0,0,1,3,5,0,9,174,40,47,11,68,99,16,8,17,10,10.5,0,0,"valid"
43,0,0,1,0,1,1,4,1,7,179,59,59,3,73,146,12,4,17,6,10.44,1,15,"valid"
44,0,1,0,0,1,0,3,1,6,284,43,82,4,14,40,14,7,12,5,9.8,1,15,"train"
45,0,0,1,0,0,3,5,1,0,209,66,66,6,62,149,68,20,15,7,23.31,0,0,"valid"
46,1,0,0,0,1,2,4,1,3,163,36,44,9,50,74,9,5,16,11,6.3,0,0,"train"
47,1,0,0,0,1,3,7,0,8,162,37,37,24,30,85,19,22,23,10,10.66,NA,NA,"test"
48,0,0,0,0,1,1,4,0,8,124,20,43,26,43,75,17,13,28,6,14.51,0,0,"valid"
49,1,0,0,0,0,0,6,1,7,145,29,42,9,11,48,13,6,20,5,9.04,NA,NA,"test"
50,0,0,1,0,1,2,4,1,3,119,24,45,3,30,49,39,24,24,3,10.11,NA,NA,"test"
51,0,0,0,0,1,0,7,0,8,324,75,78,0,90,177,6,7,21,5,8.04,1,14,"train"
52,0,1,0,0,1,2,3,0,9,167,73,73,2,34,63,10,6,20,5,8.77,1,11,"train"
53,0,1,0,0,1,3,4,1,9,94,30,30,28,72,133,52,41,16,6,14.39,1,14,"valid"
54,0,1,0,0,1,4,4,1,9,231,55,58,3,66,112,20,16,15,6,19.18,1,13,"valid"
55,0,0,0,1,1,0,4,1,8,158,38,38,22,55,80,20,20,14,3,10.22,1,16,"train"
56,0,0,0,0,1,2,5,1,6,427,78,114,0,78,131,9,4,24,6,6.13,1,13,"train"
57,1,0,0,0,1,1,4,1,7,124,41,41,12,24,56,53,56,13,4,22.5,1,17,"train"
58,0,0,0,0,1,3,4,1,8,172,34,55,15,62,73,24,21,19,7,12.32,0,0,"train"
59,0,0,0,1,1,3,1,1,5,167,55,57,3,46,81,44,32,23,20,15.34,0,0,"valid"
