"","ID","donr.prob","damt","donr.bin","score_all","score_allscore","score_predprob","score_highprob","score_highval"
"1327",5396,0.999886841748668,13.9927023373066,1,11.9911189475787,11.9911189475787,12.9911189475787,12.9911189475787,0
"1586",6490,0.999684739162357,12.9694618126567,1,10.9653730492618,10.9653730492618,11.9653730492618,11.9653730492618,0
"173",630,0.999556361439602,13.953804107906,1,11.9476136623395,11.9476136623395,12.9476136623395,12.9476136623395,0
"1344",5472,0.999548568503315,14.7151872488195,1,12.7085443498158,12.7085443498158,13.7085443498158,13.7085443498158,0
"257",971,0.999494732952173,16.6708256098329,1,14.6624023909922,14.6624023909922,15.6624023909922,15.6624023909922,0
"314",1239,0.999201865407789,14.9446250448109,1,12.932697222595,12.932697222595,13.932697222595,13.932697222595,0
"543",2246,0.999156910054082,13.4478900255831,1,11.4365522447087,11.4365522447087,12.4365522447087,12.4365522447087,0
"261",986,0.999004826447891,15.792332991086,1,13.7766168789672,13.7766168789672,14.7766168789672,14.7766168789672,0
"391",1533,0.998970367251546,13.8479100546622,1,11.8336517929722,11.8336517929722,12.8336517929722,12.8336517929722,0
"806",3386,0.998918255055753,14.3506179105898,1,12.3350942022182,12.3350942022182,13.3350942022182,13.3350942022182,0
"1038",4262,0.998872370012462,13.4015583534811,1,11.386446354402,11.386446354402,12.386446354402,12.386446354402,0
"1646",6698,0.998748325198794,18.7354866048184,1,16.7120358683468,16.7120358683468,17.7120358683468,17.7120358683468,17.7120358683468
"1296",5266,0.998590479049207,14.4745953507711,1,12.4541931053699,12.4541931053699,13.4541931053699,13.4541931053699,0
"1778",7202,0.998560003210629,13.3531245462302,1,11.3338960897556,11.3338960897556,12.3338960897556,12.3338960897556,0
"1282",5209,0.998301062230525,16.1445973382293,1,14.1171686720384,14.1171686720384,15.1171686720384,15.1171686720384,0
"1124",4570,0.998285762383817,14.6591402425952,1,12.6340109929705,12.6340109929705,13.6340109929705,13.6340109929705,0
"1986",7914,0.998207001588594,13.038301138969,1,11.0149234857394,11.0149234857394,12.0149234857394,12.0149234857394,0
"531",2186,0.997729039321763,14.6144965373366,1,12.5813075903681,12.5813075903681,13.5813075903681,13.5813075903681,0
